event_id,pair_id,track_role,platform,event_type,event_date,source,severity,notes
EVT101,PAIR001,derived,spotify,release,06/26/2023,label_page,major,"""Release of Hindi remake 'Pasoori Nu' on Spotify"""
EVT102,PAIR001,derived,youtube,release,06/26/2023,official_channel,major,"""Official music video upload on T-Series (Music Label) YT page"""
EVT103,PAIR001,derived,spotify,playlist_add_editorial,06/27/2023,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time"""
EVT201,PAIR002,derived,spotify,release,12/05/2018,label_page,major,"""Official release of Aankh Marey on Spotify."""
EVT202,PAIR002,derived,youtube,release,12/05/2018,official_channel,major,"""Official music/audio upload on T-Series (Music Label) YT page"""
EVT203,PAIR002,derived,spotify,playlist_add_editorial,01/14/2019,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time"""
EVT204,PAIR002,derived,apple,playlist_add_editorial,12/10/2018,chartmetric_log,moderate,"""Added to Apple's Editorial Playlists for the first time"""
EVT301,PAIR003,derived,spotify,release,10/12/2022,label_page,major,"""Published on all digital streaming platforms, including Spotify"""
EVT302,PAIR003,derived,youtube,release,10/19/2022,official_channel,major,"""Published on YouTube through the production company Hombale Films"""
EVT303,PAIR003,derived,both,controversy,10/24/2022,social_media_post,moderate,"""Thaikkudam Bridge published an Instagram post, accusing the creators of Varaha Roopam of plaigarism; the dispute officially becomes public and precedes takedowns."""
EVT304,PAIR003,derived,both,court_order,10/28/2022,news_article,major,"""Kerala High Court orders Hombale Films to stop using 'Varaha Roopam' in theatres and on streaming platforms unless permission obtained from Thaikuddam Bridge."""
EVT305,PAIR003,derived,youtube,takedown,11/02/2022,news_article,major,"""Official Varaha Roopam video is removed from YouTube following an injunction."""
EVT306,PAIR003,derived,ott,version_change,11/24/2022,news_article,major,"""During Kantara's digital release on APV, the original song was replaced by a revised tune due to a court order; fans generally had a negative reaction to the change."""
EVT307,PAIR003,derived,both ,re_upload,02/14/2023,label_page,major,"""Original song is restored to digital platforms, citing a lack of jurisdiction."""
EVT308,PAIR003,derived,both ,controversy_resolved,10/25/2023,news_article,moderate,"""Kerala High Court dismisses case, after both parties reach a private settlement; original version is reinstated permanently. """
EVT401,PAIR004,derived,spotify,release,07/03/2018,label_page,major,"""Release of remake of 1999 song 'Dilbar' on Spotify"""
EVT402,PAIR004,derived,youtube,release,08/28/2018,official_channel,major ,"""Official music video upload on T-Series (Music Label) YT page"""
EVT403,PAIR004,derived,spotify,playlist_add_editorial,01/14/2019,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time"""
EVT404,PAIR004,derived,apple,playlist_add_editorial,07/09/2018,chartmetric_log,moderate,"""Added to Apple's Editorial Playlists for the first time"""
EVT501,PAIR005,derived,spotify,release,09/09/2024,label_page,major,"""Release of 'Manasilaayo' on Spotify"""
EVT502,PAIR005,derived,youtube,release,10/28/2024,official_channel,major,"""Official music video upload on Sony Music India - YT page"""
EVT503,PAIR005,derived,spotify,playlist_add_editorial,09/12/2024,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time."""
EVT504,PAIR005,derived,apple,playlist_add_editorial,09/17/2024,chartmetric_log,moderate,"""Added to Apple's Editorial Playlists for the first time."""
EVT505,PAIR005,derived,both ,press_controversy,09/10/2024,news_article,info,"""Media reports AI-revived voice of vocalist Malaysia Vasudevan, featured as the main hook within the track."""
EVT601,PAIR006,derived,spotify,release,02/09/2023,label_page,major,"""Release of Hindi remake 'Character Dheela 2.0' on Spotify"""
EVT602,PAIR006,derived,youtube,release,02/09/2023,official_channel,major,"""Official music video upload on T-Series (Music Label) YT page"""
